Day,Month,Year,Site_id,Plant_species,Flower_count,FloralArea,Comment
28,5,18,Cian.White_Bn_1_WL1,Vicia.sepium,500,17000,
18,7,18,Cian.White_Bn_3_WL1,Rubus.fruticosus,1200,36000,
10,6,18,Cian.White_Bn_2_WL1,Heracleum.sphondylium,867,173400,
28,5,18,Cian.White_Bn_1_WL1,Crataegus.monogyna,17550,351000,
28,5,18,Cian.White_Bn_1_BC4,Escallonia.macrantha,20,400,
10,6,18,Cian.White_Bn_2_BC4,Escallonia.macrantha,20,400,
10,6,18,Cian.White_Bn_2_BC4,Aubrieta.deltoidea,120,2400,
10,6,18,Cian.White_Bn_2_GA2,Rosa.cult,10,1000,
17,7,18,Cian.White_Ce_3_GA1,Geranium.robertianum,30,450,
17,7,18,Cian.White_Ce_3_GA1,Rubus.fruticosus,130,3900,
7,8,18,Cian.White_Ce_4_GA1,Rubus.fruticosus,150,4500,
19,6,18,Cian.White_Ce_2_GA1,Rubus.fruticosus,200,6000,
17,7,18,Cian.White_Ce_3_GA1,Cirsium.arvense,270,6750,
5,5,18,Cian.White_Ce_1_GA1,Taraxacum.agg,330,16500,
5,5,18,Cian.White_Ce_1_GA1,Cardamine.pratensis,900,18000,
19,6,18,Cian.White_Ce_2_GA1,Trifolium.repens,2150,27950,
19,6,18,Cian.White_Ce_2_GA1,Trifolium.repens,2325,30225,
7,8,18,Cian.White_Ce_4_WD2,Circaea.lutetiana,17,68,
5,5,18,Cian.White_Ce_1_WD2,Cardamine.hirsutum,30,90,
17,7,18,Cian.White_Ce_3_WD2,Cirsium.vulgare,5,150,
17,7,18,Cian.White_Ce_3_WD2,Epilobium.hirsutum,7,175,
19,6,18,Cian.White_Ce_2_WD2,Epilobium.montanum,20,240,
7,8,18,Cian.White_Ce_4_WD2,Epilobium.parviflorum,43,387,
5,5,18,Cian.White_Ce_1_WD2,Hyacinthoides.non-scripta,20,400,
17,7,18,Cian.White_Ce_3_WD2,Circaea.lutetiana,105,420,
17,7,18,Cian.White_Ce_3_WD2,Ranunculus.repens,15,450,
7,8,18,Cian.White_Ce_4_WD2,Chamerion.anguistifolium,15,450,
5,5,18,Cian.White_Ce_1_WD2,Taraxacum.agg,20,1000,
17,7,18,Cian.White_Ce_3_WD2,Geranium.robertianum,110,1650,
7,8,18,Cian.White_Ce_4_WD2,Geranium.robertianum,120,1800,
5,5,18,Cian.White_Ce_1_WD2,Bellis.perennis,100,2500,
17,7,18,Cian.White_Ce_3_WD2,Rubus.fruticosus,95,2850,
19,6,18,Cian.White_Ce_2_WD2,Geranium.robertianum,250,3750,
5,5,18,Cian.White_Ce_1_WD2,Ficaria.verna,230,6900,
19,6,18,Cian.White_Ce_2_WD2,Ranunculus.repens,250,7500,
7,8,18,Cian.White_Ce_4_WL1,Rubus.fruticosus,30,900,
19,6,18,Cian.White_Ce_2_WL1,Ranunculus.repens,50,1500,
19,6,18,Cian.White_Ce_2_WL1,Rubus.fruticosus,70,2100,
5,5,18,Cian.White_Ce_1_WL1,Taraxacum.agg,70,3500,
17,7,18,Cian.White_Ce_3_WL1,Rubus.fruticosus,180,5400,
5,5,18,Cian.White_Ce_1_WL1,Anthriscus.sylvestris,600,42000,
19,6,18,Cian.White_Ce_2_WL1,Heracleum.sphondylium,600,120000,
19,6,18,Cian.White_Ce_2_BC4,Leucanthemum.xsuperbum,15,1500,
7,8,18,Cian.White_Ce_4_BC4,Spiraea.japonica,50,3500,
17,7,18,Cian.White_Ce_3_BC4,Fuchsia.magellanica,71,3550,
7,8,18,Cian.White_Ce_4_BC4,Fuchsia.magellanica,120,6000,
19,6,18,Cian.White_Ce_2_BC4,Salvia.microphylla,300,7500,
17,7,18,Cian.White_Ce_3_BC4,Salvia.microphylla,530,13250,
7,8,18,Cian.White_Ce_4_BC4,Salvia.microphylla,650,16250,
19,6,18,Cian.White_Ce_2_BC4,Spiraea.japonica,1500,105000,
8,8,18,Cian.White_Cn_4_BC4,Senecio.jacobaea,2,40,
8,8,18,Cian.White_Cn_4_BC4,Allium.schoenoprasum,2,80,
9,6,18,Cian.White_Cn_2_BC4,Epilobium.parviflorum,15,135,
8,8,18,Cian.White_Cn_4_BC4,Senecio.jacobaea,17,340,
8,7,18,Cian.White_Cn_3_BC4,Ligustrum.vulgare,15,750,
8,8,18,Cian.White_Cn_4_BC4,Chamerion.anguistifolium,30,900,
8,7,18,Cian.White_Cn_3_BC4,Rubus.fruticosus,120,3600,
8,7,18,Cian.White_Cn_3_BC4,Ligustrum.vulgare,90,4500,
23,5,18,Cian.White_Cn_1_BC4,Vicia.sepium,300,10200,
9,6,18,Cian.White_Cn_2_BC4,Vicia.sepium,550,18700,
8,7,18,Cian.White_Cn_3_GA1,Trifolium.repens,57,741,
23,5,18,Cian.White_Cn_1_GA1,Cardamine.pratensis,200,4000,
